from:s1;to:s2;distance:2
from:s148;to:s149;distance:296
from:s149;to:s150;distance:298
from:s150;to:s151;distance:300
from:s151;to:s152;distance:302
from:s152;to:s153;distance:304
from:s153;to:s154;distance:306
from:s154;to:s155;distance:308
from:s155;to:s156;distance:310
from:s156;to:s157;distance:312
from:s157;to:s158;distance:314
from:s158;to:s159;distance:316
from:s159;to:s160;distance:318
from:s160;to:s161;distance:320
from:s161;to:s162;distance:322
from:s162;to:s163;distance:324
from:s163;to:s164;distance:326
from:s164;to:s165;distance:328
from:s165;to:s166;distance:330
from:s166;to:s167;distance:332
from:s167;to:s168;distance:334
from:s168;to:s169;distance:336
from:s169;to:s170;distance:338
from:s170;to:s171;distance:340
from:s171;to:s172;distance:342
from:s172;to:s173;distance:344
from:s173;to:s174;distance:346
from:s174;to:s175;distance:348
from:s175;to:s176;distance:350
from:s176;to:s177;distance:352
from:s177;to:s178;distance:354
from:s178;to:s179;distance:356
from:s179;to:s180;distance:358
from:s180;to:s181;distance:360
from:s181;to:s182;distance:362
from:s182;to:s183;distance:364
from:s183;to:s184;distance:366
from:s184;to:s185;distance:368
from:s185;to:s186;distance:370
from:s186;to:s187;distance:372
from:s187;to:s188;distance:374
from:s188;to:s189;distance:376
from:s189;to:s190;distance:378
from:s190;to:s191;distance:380
from:s191;to:s192;distance:382
from:s192;to:s193;distance:384
from:s193;to:s194;distance:386
from:s194;to:s195;distance:388
from:s195;to:s196;distance:390
from:s196;to:s197;distance:392
from:s197;to:s198;distance:394
from:s198;to:s199;distance:396
from:s199;to:s200;distance:398
from:s200;to:s201;distance:400
from:s201;to:s202;distance:402
from:s202;to:s203;distance:404
from:s203;to:s204;distance:406
from:s204;to:s205;distance:408
from:s205;to:s206;distance:410
from:s206;to:s207;distance:412
from:s207;to:s208;distance:414
from:s208;to:s209;distance:416
from:s209;to:s210;distance:418
from:s210;to:s211;distance:420
from:s211;to:s212;distance:422
from:s212;to:s213;distance:424
from:s213;to:s214;distance:426
from:s214;to:s215;distance:428
from:s215;to:s216;distance:430
from:s216;to:s217;distance:432
from:s217;to:s218;distance:434
from:s218;to:s219;distance:436
from:s219;to:s220;distance:438
from:s220;to:s221;distance:440
from:s221;to:s222;distance:442
from:s222;to:s223;distance:444
from:s223;to:s224;distance:446
from:s224;to:s225;distance:448
from:s225;to:s226;distance:450
from:s226;to:s227;distance:452
from:s227;to:s228;distance:454
from:s228;to:s229;distance:456
from:s229;to:s230;distance:458
from:s230;to:s231;distance:460
from:s231;to:s232;distance:462
from:s232;to:s233;distance:464
from:s233;to:s234;distance:466
from:s234;to:s235;distance:468
from:s235;to:s236;distance:470
from:s236;to:s237;distance:472
from:s237;to:s238;distance:474
from:s238;to:s239;distance:476
from:s239;to:s240;distance:478
from:s240;to:s241;distance:480
from:s241;to:s242;distance:482
from:s242;to:s243;distance:484
from:s243;to:s244;distance:486
from:s244;to:s245;distance:488
from:s245;to:s246;distance:490
from:s246;to:s247;distance:492
from:s247;to:s248;distance:494
from:s248;to:s249;distance:496
from:s249;to:s250;distance:498
from:s250;to:s251;distance:500
from:s251;to:s252;distance:502
from:s252;to:s253;distance:504
from:s253;to:s254;distance:506
from:s254;to:s255;distance:508
from:s255;to:s256;distance:510
from:s256;to:s257;distance:512
from:s257;to:s258;distance:514
from:s258;to:s259;distance:516
from:s259;to:s260;distance:518
from:s260;to:s261;distance:520
from:s261;to:s262;distance:522
from:s262;to:s263;distance:524
from:s263;to:s264;distance:526
from:s264;to:s265;distance:528
from:s265;to:s266;distance:530
from:s266;to:s267;distance:532
from:s267;to:s268;distance:534
from:s268;to:s269;distance:536
from:s269;to:s270;distance:538
from:s270;to:s271;distance:540
from:s271;to:s272;distance:542
from:s272;to:s273;distance:544
from:s273;to:s274;distance:546
from:s274;to:s275;distance:548
from:s275;to:s276;distance:550
from:s276;to:s277;distance:552
from:s277;to:s278;distance:554
from:s278;to:s279;distance:556
from:s279;to:s280;distance:558
from:s280;to:s281;distance:560
from:s281;to:s282;distance:562
from:s282;to:s283;distance:564
from:s283;to:s284;distance:566
from:s284;to:s285;distance:568
from:s285;to:s286;distance:570
from:s286;to:s287;distance:572
from:s287;to:s288;distance:574
from:s288;to:s289;distance:576
from:s289;to:s290;distance:578
from:s290;to:s291;distance:580
from:s291;to:s292;distance:582
from:s292;to:s293;distance:584
from:s293;to:s294;distance:586
from:s294;to:s295;distance:588
from:s295;to:s296;distance:590
from:s296;to:s297;distance:592
from:s297;to:s298;distance:594
from:s298;to:s299;distance:596
from:s299;to:s300;distance:598
from:s300;to:s301;distance:600
from:s301;to:s302;distance:602
from:s302;to:s303;distance:604
from:s303;to:s304;distance:606
from:s304;to:s305;distance:608
from:s305;to:s306;distance:610
from:s306;to:s307;distance:612
from:s307;to:s308;distance:614
from:s308;to:s309;distance:616
from:s309;to:s310;distance:618
from:s310;to:s311;distance:620
from:s311;to:s312;distance:622
from:s312;to:s313;distance:624
from:s313;to:s314;distance:626
from:s314;to:s315;distance:628
from:s315;to:s316;distance:630
from:s316;to:s317;distance:632
from:s317;to:s318;distance:634
from:s318;to:s319;distance:636
from:s319;to:s320;distance:638
from:s320;to:s321;distance:640
from:s321;to:s322;distance:642
from:s322;to:s323;distance:644
from:s323;to:s324;distance:646
from:s324;to:s325;distance:648
from:s325;to:s326;distance:650
from:s326;to:s327;distance:652
from:s327;to:s328;distance:654
from:s328;to:s329;distance:656
from:s329;to:s330;distance:658
from:s330;to:s331;distance:660
from:s331;to:s332;distance:662
from:s332;to:s333;distance:664
from:s333;to:s334;distance:666
from:s334;to:s335;distance:668
from:s335;to:s336;distance:670
from:s336;to:s337;distance:672
from:s337;to:s338;distance:674
from:s338;to:s339;distance:676
from:s339;to:s340;distance:678
from:s340;to:s341;distance:680
from:s341;to:s342;distance:682
from:s342;to:s343;distance:684
from:s343;to:s344;distance:686
from:s344;to:s345;distance:688
from:s345;to:s346;distance:690
from:s346;to:s347;distance:692
from:s347;to:s348;distance:694
from:s348;to:s349;distance:696
from:s349;to:s350;distance:698
from:s350;to:s351;distance:700
from:s351;to:s352;distance:702
from:s352;to:s353;distance:704
from:s353;to:s354;distance:706
from:s354;to:s355;distance:708
from:s355;to:s356;distance:710
from:s356;to:s357;distance:712
from:s357;to:s358;distance:714
from:s358;to:s359;distance:716
from:s359;to:s360;distance:718
from:s360;to:s361;distance:720
from:s361;to:s362;distance:722
from:s362;to:s363;distance:724
from:s363;to:s364;distance:726
from:s364;to:s365;distance:728
from:s365;to:s366;distance:730
from:s366;to:s367;distance:732
from:s367;to:s368;distance:734
from:s368;to:s369;distance:736
from:s369;to:s370;distance:738
from:s370;to:s371;distance:740
from:s371;to:s372;distance:742
from:s372;to:s373;distance:744
from:s373;to:s374;distance:746
from:s374;to:s375;distance:748
from:s375;to:s376;distance:750
from:s376;to:s377;distance:752
from:s377;to:s378;distance:754
from:s378;to:s379;distance:756
from:s379;to:s380;distance:758
from:s380;to:s381;distance:760
from:s381;to:s382;distance:762
from:s382;to:s383;distance:764
from:s383;to:s384;distance:766
from:s384;to:s385;distance:768
from:s385;to:s386;distance:770
from:s386;to:s387;distance:772
from:s387;to:s388;distance:774
from:s388;to:s389;distance:776
from:s389;to:s390;distance:778
from:s390;to:s391;distance:780
from:s391;to:s392;distance:782
from:s392;to:s393;distance:784
from:s393;to:s394;distance:786
from:s394;to:s395;distance:788
from:s395;to:s396;distance:790
from:s396;to:s397;distance:792
from:s397;to:s398;distance:794
from:s398;to:s399;distance:796
from:s399;to:s400;distance:798
from:s400;to:s401;distance:800
from:s401;to:s402;distance:802
from:s402;to:s403;distance:804
from:s403;to:s404;distance:806
from:s404;to:s405;distance:808
from:s405;to:s406;distance:810
from:s406;to:s407;distance:812
from:s407;to:s408;distance:814
from:s408;to:s409;distance:816
from:s409;to:s410;distance:818
from:s410;to:s411;distance:820
from:s411;to:s412;distance:822
from:s412;to:s413;distance:824
from:s413;to:s414;distance:826
from:s414;to:s415;distance:828
from:s415;to:s416;distance:830
from:s416;to:s417;distance:832
from:s417;to:s418;distance:834
from:s418;to:s419;distance:836
from:s419;to:s420;distance:838
from:s420;to:s421;distance:840
from:s421;to:s422;distance:842
from:s422;to:s423;distance:844
from:s423;to:s424;distance:846
from:s424;to:s425;distance:848
from:s425;to:s426;distance:850
from:s426;to:s427;distance:852
from:s427;to:s428;distance:854
from:s428;to:s429;distance:856
from:s429;to:s430;distance:858
from:s430;to:s431;distance:860
from:s431;to:s432;distance:862
from:s432;to:s433;distance:864
from:s433;to:s434;distance:866
from:s434;to:s435;distance:868
from:s435;to:s436;distance:870
from:s436;to:s437;distance:872
from:s437;to:s438;distance:874
from:s438;to:s439;distance:876
from:s439;to:s440;distance:878
from:s440;to:s441;distance:880
from:s441;to:s442;distance:882
from:s442;to:s443;distance:884
from:s443;to:s444;distance:886
from:s444;to:s445;distance:888
from:s445;to:s446;distance:890
from:s446;to:s447;distance:892
from:s447;to:s448;distance:894
from:s448;to:s449;distance:896
from:s449;to:s450;distance:898
from:s450;to:s451;distance:900
from:s451;to:s452;distance:902
from:s452;to:s453;distance:904
from:s453;to:s454;distance:906
from:s454;to:s455;distance:908
from:s455;to:s456;distance:910
from:s456;to:s457;distance:912
from:s457;to:s458;distance:914
from:s458;to:s459;distance:916
from:s459;to:s460;distance:918
from:s460;to:s461;distance:920
from:s461;to:s462;distance:922
from:s462;to:s463;distance:924
from:s463;to:s464;distance:926
from:s464;to:s465;distance:928
from:s465;to:s466;distance:930
from:s466;to:s467;distance:932
from:s467;to:s468;distance:934
from:s468;to:s469;distance:936
from:s469;to:s470;distance:938
from:s470;to:s471;distance:940
from:s471;to:s472;distance:942
from:s472;to:s473;distance:944
from:s473;to:s474;distance:946
from:s474;to:s475;distance:948
from:s475;to:s476;distance:950
from:s476;to:s477;distance:952
from:s477;to:s478;distance:954
from:s478;to:s479;distance:956
from:s479;to:s480;distance:958
from:s480;to:s481;distance:960
from:s481;to:s482;distance:962
from:s482;to:s483;distance:964
from:s483;to:s484;distance:966
from:s484;to:s485;distance:968
from:s485;to:s486;distance:970
from:s486;to:s487;distance:972
from:s487;to:s488;distance:974
from:s488;to:s489;distance:976
from:s489;to:s490;distance:978
from:s490;to:s491;distance:980
from:s491;to:s492;distance:982
from:s492;to:s493;distance:984
from:s493;to:s494;distance:986
from:s494;to:s495;distance:988
from:s495;to:s496;distance:990
from:s496;to:s497;distance:992
from:s497;to:s498;distance:994
from:s498;to:s499;distance:996
from:s499;to:s500;distance:998
from:s500;to:s501;distance:1000
from:s501;to:s502;distance:1002
from:s502;to:s503;distance:1004
from:s503;to:s504;distance:1006
from:s504;to:s505;distance:1008
from:s505;to:s506;distance:1010
from:s506;to:s507;distance:1012
from:s507;to:s508;distance:1014
from:s508;to:s509;distance:1016
from:s509;to:s510;distance:1018
from:s510;to:s511;distance:1020
from:s511;to:s512;distance:1022
from:s512;to:s513;distance:1024
from:s513;to:s514;distance:1026
from:s514;to:s515;distance:1028
from:s515;to:s516;distance:1030
from:s516;to:s517;distance:1032
from:s517;to:s518;distance:1034
from:s518;to:s519;distance:1036
from:s519;to:s520;distance:1038
from:s520;to:s521;distance:1040
from:s521;to:s522;distance:1042
from:s522;to:s523;distance:1044
from:s523;to:s524;distance:1046
from:s524;to:s525;distance:1048
from:s525;to:s526;distance:1050
from:s526;to:s527;distance:1052
from:s527;to:s528;distance:1054
from:s528;to:s529;distance:1056
from:s529;to:s530;distance:1058
from:s530;to:s531;distance:1060
from:s531;to:s532;distance:1062
from:s532;to:s533;distance:1064
from:s533;to:s534;distance:1066
from:s534;to:s535;distance:1068
from:s535;to:s536;distance:1070
from:s536;to:s537;distance:1072
from:s537;to:s538;distance:1074
from:s538;to:s539;distance:1076
from:s539;to:s540;distance:1078
from:s540;to:s541;distance:1080
from:s541;to:s542;distance:1082
from:s542;to:s543;distance:1084
from:s543;to:s544;distance:1086
from:s544;to:s545;distance:1088
from:s545;to:s546;distance:1090
from:s546;to:s547;distance:1092
from:s547;to:s548;distance:1094
from:s548;to:s549;distance:1096
from:s549;to:s550;distance:1098
from:s550;to:s551;distance:1100
from:s551;to:s552;distance:1102
from:s552;to:s553;distance:1104
from:s553;to:s554;distance:1106
from:s554;to:s555;distance:1108
from:s555;to:s556;distance:1110
from:s556;to:s557;distance:1112
from:s557;to:s558;distance:1114
from:s558;to:s559;distance:1116
from:s559;to:s560;distance:1118
from:s560;to:s561;distance:1120
from:s561;to:s562;distance:1122
from:s562;to:s563;distance:1124
from:s563;to:s564;distance:1126
from:s564;to:s565;distance:1128
from:s565;to:s566;distance:1130
from:s566;to:s567;distance:1132
from:s567;to:s568;distance:1134
from:s568;to:s569;distance:1136
from:s569;to:s570;distance:1138
from:s570;to:s571;distance:1140
from:s571;to:s572;distance:1142
from:s572;to:s573;distance:1144
from:s573;to:s574;distance:1146
from:s574;to:s575;distance:1148
from:s575;to:s576;distance:1150
from:s576;to:s577;distance:1152
from:s577;to:s578;distance:1154
from:s578;to:s579;distance:1156
from:s579;to:s580;distance:1158
from:s580;to:s581;distance:1160
from:s581;to:s582;distance:1162
from:s582;to:s583;distance:1164
from:s583;to:s584;distance:1166
from:s584;to:s585;distance:1168
from:s585;to:s586;distance:1170
from:s586;to:s587;distance:1172
from:s587;to:s588;distance:1174
from:s588;to:s589;distance:1176
from:s589;to:s590;distance:1178
from:s590;to:s591;distance:1180
from:s591;to:s592;distance:1182
from:s592;to:s593;distance:1184
from:s593;to:s594;distance:1186
from:s594;to:s595;distance:1188
from:s595;to:s596;distance:1190
from:s596;to:s597;distance:1192
from:s597;to:s598;distance:1194
from:s598;to:s599;distance:1196
from:s599;to:s600;distance:1198
from:s600;to:s601;distance:1200
from:s601;to:s602;distance:1202
from:s602;to:s603;distance:1204
from:s603;to:s604;distance:1206
from:s604;to:s605;distance:1208
from:s605;to:s606;distance:1210
from:s606;to:s607;distance:1212
from:s607;to:s608;distance:1214
from:s608;to:s609;distance:1216
from:s609;to:s610;distance:1218
from:s610;to:s611;distance:1220
from:s611;to:s612;distance:1222
from:s612;to:s613;distance:1224
from:s613;to:s614;distance:1226
from:s614;to:s615;distance:1228
from:s615;to:s616;distance:1230
from:s616;to:s617;distance:1232
from:s617;to:s618;distance:1234
from:s618;to:s619;distance:1236
from:s619;to:s620;distance:1238
from:s620;to:s621;distance:1240
from:s621;to:s622;distance:1242
from:s622;to:s623;distance:1244
from:s623;to:s624;distance:1246
from:s624;to:s625;distance:1248
from:s625;to:s626;distance:1250
from:s626;to:s627;distance:1252
from:s627;to:s628;distance:1254
from:s628;to:s629;distance:1256
from:s629;to:s630;distance:1258
from:s630;to:s631;distance:1260
from:s631;to:s632;distance:1262
from:s632;to:s633;distance:1264
from:s633;to:s634;distance:1266
from:s634;to:s635;distance:1268
from:s635;to:s636;distance:1270
from:s636;to:s637;distance:1272
from:s637;to:s638;distance:1274
from:s638;to:s639;distance:1276
from:s639;to:s640;distance:1278
from:s640;to:s641;distance:1280
from:s641;to:s642;distance:1282
from:s642;to:s643;distance:1284
from:s643;to:s644;distance:1286
from:s644;to:s645;distance:1288
from:s645;to:s646;distance:1290
from:s646;to:s647;distance:1292
from:s647;to:s648;distance:1294
from:s648;to:s649;distance:1296
from:s649;to:s650;distance:1298
from:s650;to:s651;distance:1300
from:s651;to:s652;distance:1302
from:s652;to:s653;distance:1304
from:s653;to:s654;distance:1306
from:s654;to:s655;distance:1308
from:s655;to:s656;distance:1310
from:s656;to:s657;distance:1312
from:s657;to:s658;distance:1314
from:s658;to:s659;distance:1316
from:s659;to:s660;distance:1318
from:s660;to:s661;distance:1320
from:s661;to:s662;distance:1322
from:s662;to:s663;distance:1324
from:s663;to:s664;distance:1326
from:s664;to:s665;distance:1328
from:s665;to:s666;distance:1330
from:s666;to:s667;distance:1332
from:s667;to:s668;distance:1334
from:s668;to:s669;distance:1336
from:s669;to:s670;distance:1338
from:s670;to:s671;distance:1340
from:s671;to:s672;distance:1342
from:s672;to:s673;distance:1344
from:s673;to:s674;distance:1346
from:s674;to:s675;distance:1348
from:s675;to:s676;distance:1350
from:s676;to:s677;distance:1352
from:s677;to:s678;distance:1354
from:s678;to:s679;distance:1356
from:s679;to:s680;distance:1358
from:s680;to:s681;distance:1360
from:s681;to:s682;distance:1362
from:s682;to:s683;distance:1364
from:s683;to:s684;distance:1366
from:s684;to:s685;distance:1368
from:s685;to:s686;distance:1370
from:s686;to:s687;distance:1372
from:s687;to:s688;distance:1374
from:s688;to:s689;distance:1376
from:s689;to:s690;distance:1378
from:s690;to:s691;distance:1380
from:s691;to:s692;distance:1382
from:s692;to:s693;distance:1384
from:s693;to:s694;distance:1386
from:s694;to:s695;distance:1388
from:s695;to:s696;distance:1390
from:s696;to:s697;distance:1392
from:s697;to:s698;distance:1394
from:s698;to:s699;distance:1396
from:s699;to:s700;distance:1398
from:s700;to:s701;distance:1400
from:s701;to:s702;distance:1402
from:s702;to:s703;distance:1404
from:s703;to:s704;distance:1406
from:s704;to:s705;distance:1408
from:s705;to:s706;distance:1410
from:s706;to:s707;distance:1412
from:s707;to:s708;distance:1414
from:s708;to:s709;distance:1416
from:s709;to:s710;distance:1418
from:s710;to:s711;distance:1420
from:s711;to:s712;distance:1422
from:s712;to:s713;distance:1424
from:s713;to:s714;distance:1426
from:s714;to:s715;distance:1428
from:s715;to:s716;distance:1430
from:s716;to:s717;distance:1432
from:s717;to:s718;distance:1434
from:s718;to:s719;distance:1436
from:s719;to:s720;distance:1438
from:s720;to:s721;distance:1440
from:s721;to:s722;distance:1442
from:s722;to:s723;distance:1444
from:s723;to:s724;distance:1446
from:s724;to:s725;distance:1448
from:s725;to:s726;distance:1450
from:s726;to:s727;distance:1452
from:s727;to:s728;distance:1454
from:s728;to:s729;distance:1456
from:s729;to:s730;distance:1458
from:s730;to:s731;distance:1460
from:s731;to:s732;distance:1462
from:s732;to:s733;distance:1464
from:s733;to:s734;distance:1466
from:s734;to:s735;distance:1468
from:s735;to:s736;distance:1470
from:s736;to:s737;distance:1472
from:s737;to:s738;distance:1474
from:s738;to:s739;distance:1476
from:s739;to:s740;distance:1478
from:s740;to:s741;distance:1480
from:s741;to:s742;distance:1482
from:s742;to:s743;distance:1484
from:s743;to:s744;distance:1486
from:s744;to:s745;distance:1488
from:s745;to:s746;distance:1490
from:s746;to:s747;distance:1492
from:s747;to:s748;distance:1494
from:s748;to:s749;distance:1496
from:s749;to:s750;distance:1498
from:s750;to:s751;distance:1500
from:s751;to:s752;distance:1502
from:s752;to:s753;distance:1504
from:s753;to:s754;distance:1506
from:s754;to:s755;distance:1508
from:s755;to:s756;distance:1510
from:s756;to:s757;distance:1512
from:s757;to:s758;distance:1514
from:s758;to:s759;distance:1516
from:s759;to:s760;distance:1518
from:s760;to:s761;distance:1520
from:s761;to:s762;distance:1522
from:s762;to:s763;distance:1524
from:s763;to:s764;distance:1526
from:s764;to:s765;distance:1528
from:s765;to:s766;distance:1530
from:s766;to:s767;distance:1532
from:s767;to:s768;distance:1534
from:s768;to:s769;distance:1536
from:s769;to:s770;distance:1538
from:s770;to:s771;distance:1540
from:s771;to:s772;distance:1542
from:s772;to:s773;distance:1544
from:s773;to:s774;distance:1546
from:s774;to:s775;distance:1548
from:s775;to:s776;distance:1550
from:s776;to:s777;distance:1552
from:s777;to:s778;distance:1554
from:s778;to:s779;distance:1556
from:s779;to:s780;distance:1558
from:s780;to:s781;distance:1560
from:s781;to:s782;distance:1562
from:s782;to:s783;distance:1564
from:s783;to:s784;distance:1566
from:s784;to:s785;distance:1568
from:s785;to:s786;distance:1570
from:s786;to:s787;distance:1572
from:s787;to:s788;distance:1574
from:s788;to:s789;distance:1576
from:s789;to:s790;distance:1578
from:s790;to:s791;distance:1580
from:s791;to:s792;distance:1582
from:s792;to:s793;distance:1584
from:s793;to:s794;distance:1586
from:s794;to:s795;distance:1588
from:s795;to:s796;distance:1590
from:s796;to:s797;distance:1592
from:s797;to:s798;distance:1594
from:s798;to:s799;distance:1596
from:s799;to:s800;distance:1598
from:s800;to:s801;distance:1600
from:s801;to:s802;distance:1602
from:s802;to:s803;distance:1604
from:s803;to:s804;distance:1606
from:s804;to:s805;distance:1608
from:s805;to:s806;distance:1610
from:s806;to:s807;distance:1612
from:s807;to:s808;distance:1614
from:s808;to:s809;distance:1616
from:s809;to:s810;distance:1618
from:s810;to:s811;distance:1620
from:s811;to:s812;distance:1622
from:s812;to:s813;distance:1624
from:s813;to:s814;distance:1626
from:s814;to:s815;distance:1628
from:s815;to:s816;distance:1630
from:s816;to:s817;distance:1632
from:s817;to:s818;distance:1634
from:s818;to:s819;distance:1636
from:s819;to:s820;distance:1638
from:s820;to:s821;distance:1640
from:s821;to:s822;distance:1642
from:s822;to:s823;distance:1644
from:s823;to:s824;distance:1646
from:s824;to:s825;distance:1648
from:s825;to:s826;distance:1650
from:s826;to:s827;distance:1652
from:s827;to:s828;distance:1654
from:s828;to:s829;distance:1656
from:s829;to:s830;distance:1658
from:s830;to:s831;distance:1660
from:s831;to:s832;distance:1662
from:s832;to:s833;distance:1664
from:s833;to:s834;distance:1666
from:s834;to:s835;distance:1668
from:s835;to:s836;distance:1670
from:s836;to:s837;distance:1672
from:s837;to:s838;distance:1674
from:s838;to:s839;distance:1676
from:s839;to:s840;distance:1678
from:s840;to:s841;distance:1680
from:s841;to:s842;distance:1682
from:s842;to:s843;distance:1684
from:s843;to:s844;distance:1686
from:s844;to:s845;distance:1688
from:s845;to:s846;distance:1690
from:s846;to:s847;distance:1692
from:s847;to:s848;distance:1694
from:s848;to:s849;distance:1696
from:s849;to:s850;distance:1698
from:s850;to:s851;distance:1700
from:s851;to:s852;distance:1702
from:s852;to:s853;distance:1704
from:s853;to:s854;distance:1706
from:s854;to:s855;distance:1708
from:s855;to:s856;distance:1710
from:s856;to:s857;distance:1712
from:s857;to:s858;distance:1714
from:s858;to:s859;distance:1716
from:s859;to:s860;distance:1718
from:s860;to:s861;distance:1720
from:s861;to:s862;distance:1722
from:s862;to:s863;distance:1724
from:s863;to:s864;distance:1726
from:s864;to:s865;distance:1728
from:s865;to:s866;distance:1730
from:s866;to:s867;distance:1732
from:s867;to:s868;distance:1734
from:s868;to:s869;distance:1736
from:s869;to:s870;distance:1738
from:s870;to:s871;distance:1740
from:s871;to:s872;distance:1742
from:s872;to:s873;distance:1744
from:s873;to:s874;distance:1746
from:s874;to:s875;distance:1748
from:s875;to:s876;distance:1750
from:s876;to:s877;distance:1752
from:s877;to:s878;distance:1754
from:s878;to:s879;distance:1756
from:s879;to:s880;distance:1758
from:s880;to:s881;distance:1760
from:s881;to:s882;distance:1762
from:s882;to:s883;distance:1764
from:s883;to:s884;distance:1766
from:s884;to:s885;distance:1768
from:s885;to:s886;distance:1770
from:s886;to:s887;distance:1772
from:s887;to:s888;distance:1774
from:s888;to:s889;distance:1776
from:s889;to:s890;distance:1778
from:s890;to:s891;distance:1780
from:s891;to:s892;distance:1782
from:s892;to:s893;distance:1784
from:s893;to:s894;distance:1786
from:s894;to:s895;distance:1788
from:s895;to:s896;distance:1790
from:s896;to:s897;distance:1792
from:s897;to:s898;distance:1794
from:s898;to:s899;distance:1796
from:s899;to:s900;distance:1798
from:s900;to:s901;distance:1800
from:s901;to:s902;distance:1802
from:s902;to:s903;distance:1804
from:s903;to:s904;distance:1806
from:s904;to:s905;distance:1808
from:s905;to:s906;distance:1810
